Club Name,Club value at 2017-10-15 (mil),Current club value (mil)
Liverpool FC,406.35,1010.00
Manchester City,529.65,950.67
Chelsea FC,552.96,723.15
Manchester United,509.18,664.52
Tottenham Hotspur,443.03,647.69
Arsenal FC,461.70,498.60
Everton FC,289.35,442.35
Leicester City,219.15,421.65
Wolverhampton Wanderers,65.88,385.38
Aston Villa,69.98,298.17
Newcastle United,118.35,250.83
West Ham United,196.56,244.22
Brighton & Hove Albion,84.65,223.97
Southampton FC,224.64,215.60
Crystal Palace,169.29,200.61
Fulham FC,65.93,195.30
Leeds United,39.42,175.03
Sheffield United,9.92,154.26
Burnley FC,75.38,136.49
West Bromwich Albion,129.38,119.12
