Club Name,Club value at 2019-01-15 (mil),Current club value (mil)
Liverpool FC,833.85,1010.00
Manchester City,1010.00,950.67
Chelsea FC,794.03,723.15
Manchester United,697.50,664.52
Tottenham Hotspur,743.85,647.69
Arsenal FC,544.05,498.60
Everton FC,391.95,442.35
Leicester City,302.40,421.65
Wolverhampton Wanderers,208.85,385.38
Aston Villa,107.33,298.17
Newcastle United,158.85,250.83
West Ham United,273.60,244.22
Brighton & Hove Albion,161.55,223.97
Southampton FC,224.19,215.60
Crystal Palace,190.13,200.61
Fulham FC,222.75,195.30
Leeds United,49.82,175.03
Sheffield United,35.28,154.26
Burnley FC,161.78,136.49
West Bromwich Albion,93.33,119.12
