Club Name,Club value at 2020-10-15 (mil),Current club value (mil)
Liverpool FC,991.08,1010.00
Manchester City,971.64,950.67
Chelsea FC,760.41,723.15
Manchester United,719.87,664.52
Tottenham Hotspur,660.20,647.69
Arsenal FC,568.76,498.60
Everton FC,463.41,442.35
Leicester City,429.48,421.65
Wolverhampton Wanderers,352.71,385.38
Aston Villa,280.62,298.17
Newcastle United,244.89,250.83
West Ham United,239.36,244.22
Brighton & Hove Albion,202.77,223.97
Southampton FC,200.97,215.60
Crystal Palace,199.10,200.61
Fulham FC,195.53,195.30
Leeds United,164.86,175.03
Sheffield United,158.45,154.26
Burnley FC,136.87,136.49
West Bromwich Albion,95.00,119.12
