Club Name,Club value at 2018-10-15 (mil),Current club value (mil)
Liverpool FC,788.40,1010.00
Manchester City,952.20,950.67
Chelsea FC,766.58,723.15
Manchester United,769.50,664.52
Tottenham Hotspur,747.45,647.69
Arsenal FC,498.60,498.60
Everton FC,359.55,442.35
Leicester City,287.55,421.65
Wolverhampton Wanderers,172.35,385.38
Aston Villa,98.78,298.17
Newcastle United,156.60,250.83
West Ham United,256.95,244.22
Brighton & Hove Albion,159.30,223.97
Southampton FC,237.24,215.60
Crystal Palace,193.73,200.61
Fulham FC,218.25,195.30
Leeds United,57.69,175.03
Sheffield United,29.43,154.26
Burnley FC,163.58,136.49
West Bromwich Albion,97.38,119.12
