Club Name,Club value at 2019-10-15 (mil),Current club value (mil)
Liverpool FC,967.28,1010.00
Manchester City,1160.00,950.67
Chelsea FC,726.30,723.15
Manchester United,677.93,664.52
Tottenham Hotspur,886.50,647.69
Arsenal FC,621.68,498.60
Everton FC,455.40,442.35
Leicester City,369.23,421.65
Wolverhampton Wanderers,300.38,385.38
Aston Villa,171.90,298.17
Newcastle United,246.22,250.83
West Ham United,313.88,244.22
Brighton & Hove Albion,197.64,223.97
Southampton FC,213.30,215.60
Crystal Palace,212.90,200.61
Fulham FC,122.40,195.30
Leeds United,81.00,175.03
Sheffield United,82.31,154.26
Burnley FC,178.88,136.49
West Bromwich Albion,73.22,119.12
