Club Name,Club value at 2021-01-15 (mil),Current club value (mil)
Liverpool FC,994.14,1010.00
Manchester City,957.87,950.67
Chelsea FC,744.35,723.15
Manchester United,688.82,664.52
Tottenham Hotspur,663.44,647.69
Arsenal FC,504.63,498.60
Everton FC,458.37,442.35
Leicester City,432.45,421.65
Wolverhampton Wanderers,380.34,385.38
Aston Villa,293.67,298.17
Newcastle United,241.25,250.83
West Ham United,236.57,244.22
Brighton & Hove Albion,220.73,223.97
Southampton FC,215.01,215.60
Crystal Palace,189.88,200.61
Fulham FC,194.67,195.30
Leeds United,175.97,175.03
Sheffield United,155.07,154.26
Burnley FC,136.87,136.49
West Bromwich Albion,103.19,119.12
